"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5802","login with locked_out_user and verify the error message","webkit","2026-02-10","failed","2026-02-10","","q1.spec.js","",""
"","10703","Validate cart page URL and UI Elements","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","20891","Reset App State validation","firefox","2026-02-10","passed","2026-02-10","Product Page Validation","q2productPage.spec.js","",""
"","486","Validate cart page URL and UI Elements","webkit","2026-02-10","failed","2026-02-10","Cart Page Validation","q2cartPage.spec.js","",""
"","5514","Validate the Success Message","chromium","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","22579","Validate cart page URL and UI Elements","firefox","2026-02-10","passed","2026-02-10","Cart Page Validation","q2cartPage.spec.js","",""
"","3526","Validate BackHomeButton","chromium","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","3179","Validate continue Button","chromium","2026-02-10","passed","2026-02-10","Cart Page Validation","q2checkoutPage.spec.js","",""
"","18652","Reset App State validation","chromium","2026-02-10","passed","2026-02-10","Product Page Validation","q2productPage.spec.js","",""
"","6749","Validate cart page URL and UI Elements","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","4696","Validate Checkout Page UI Elements and url","firefox","2026-02-10","passed","2026-02-10","Cart Page Validation","q2checkoutPage.spec.js","",""
"","5414","Reset App State & Logout","firefox","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","10615","Validate Product Page","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","6732","Validate checkout overview page UI and url","chromium","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","30992","Validate Specfic Products added to the Cart Page","firefox","2026-02-10","broken","2026-02-10","Cart Page Validation","q2cartPage.spec.js","",""
"","4113","Validate cart page URL and UI Elements","chromium","2026-02-10","passed","2026-02-10","Cart Page Validation","q2cartPage.spec.js","",""
"","10047","Validate continue Button","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","2977","Validate checkout overview page UI and url","chromium","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","3720","Validate Item Total calculation","chromium","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","7078","Validate continue Button","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","5871","Validate checkout overview page UI and url","firefox","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","6547","Validate BackHomeButton","firefox","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","30101","Validate First Product in the Cart Page","chromium","2026-02-10","broken","2026-02-10","Q3 Task","q3.spec.js","",""
"","24366","Filter By Name Z to A","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","12518","Validate Item Total calculation","firefox","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","22338","Validate adding specific products to cart","chromium","2026-02-10","passed","2026-02-10","Product Page Validation","q2productPage.spec.js","",""
"","24259","login with locked_out_user and verify the error message","firefox","2026-02-10","passed","2026-02-10","","q1.spec.js","",""
"","8901","login with locked_out_user and verify the error message","chromium","2026-02-10","passed","2026-02-10","","q1.spec.js","",""
"","5231","Validate continue Button","firefox","2026-02-10","passed","2026-02-10","Cart Page Validation","q2checkoutPage.spec.js","",""
"","8347","Reset App State validation","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","16155","Reset App State validation","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","10146","Validate Checkout Page UI Elements and url","firefox","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","14985","Validate checkout overview page UI and url","firefox","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","10745","Filter By Name Z to A","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","15381","Validate Specfic Products added to the Cart Page","chromium","2026-02-10","passed","2026-02-10","Cart Page Validation","q2cartPage.spec.js","",""
"","2958","Validate Checkout Page UI Elements and url","chromium","2026-02-10","passed","2026-02-10","Cart Page Validation","q2checkoutPage.spec.js","",""
"","2463","Validate Final Toal (ItemTotal + Tax)","chromium","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","30698","Validate adding specific products to cart","firefox","2026-02-10","broken","2026-02-10","Product Page Validation","q2productPage.spec.js","",""
"","6786","Validate Checkout Page UI Elements and url","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","3474","Reset App State & Logout","chromium","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
"","9571","Validate Final Toal (ItemTotal + Tax)","firefox","2026-02-10","passed","2026-02-10","Checkout Overview Validation","q2checkoutOverview.spec.js","",""
"","27526","Validate First Product in the Cart Page","firefox","2026-02-10","failed","2026-02-10","Q3 Task","q3.spec.js","",""
"","6844","Validate Product Page","chromium","2026-02-10","passed","2026-02-10","Q3 Task","q3.spec.js","",""
"","19390","Validate the Success Message","firefox","2026-02-10","passed","2026-02-10","Final Page Validation","q2finalPage.spec.js","",""
